glb,target,faces,watertight,nonman,comps,f1@0.01,dinov2
model_0056.glb,50000,49744,True,0,1,0.75,0.0504
model_0056.glb,25000,24362,True,0,1,0.759,0.0436
model_0056.glb,12000,10080,True,0,1,0.648,0.1203
model_0056.glb,6000,30,True,0,1,0.001,0.6245
model_0057.glb,50000,49200,True,0,1,1.0,0.007
model_0057.glb,25000,24998,True,0,1,1.0,0.0067
model_0057.glb,12000,11974,True,0,1,1.0,0.0106
model_0057.glb,6000,6000,True,0,1,1.0,0.0106
model_0058.glb,50000,49926,True,0,1,0.873,0.0383
model_0058.glb,25000,24736,False,0,1,0.876,0.0331
model_0058.glb,12000,11114,False,0,1,0.868,0.0649
model_0058.glb,6000,2378,True,0,1,0.321,0.4875
model_0059.glb,50000,49718,True,0,1,0.879,0.059
model_0059.glb,25000,24582,True,0,1,0.873,0.0576
model_0059.glb,12000,11558,True,0,1,0.871,0.0672
model_0059.glb,6000,5594,True,0,1,0.864,0.1389
model_0060.glb,50000,49894,True,0,1,0.833,0.0397
model_0060.glb,25000,24728,True,0,1,0.837,0.041
model_0060.glb,12000,10932,True,0,1,0.803,0.0672
model_0060.glb,6000,4652,True,0,1,0.595,0.3361
model_0001.glb,50000,29020,True,0,1,0.698,0.1479
model_0001.glb,25000,14438,True,0,1,0.692,0.1508
model_0001.glb,12000,6960,True,0,1,0.69,0.1494
model_0001.glb,6000,3462,True,0,1,0.691,0.1729
model_0020.glb,50000,49724,True,0,1,0.888,0.0302
model_0020.glb,25000,24566,True,0,1,0.886,0.0321
model_0020.glb,12000,10958,True,0,1,0.874,0.087
model_0020.glb,6000,2052,True,0,1,0.241,0.5173
model_0040.glb,50000,50000,True,0,1,0.979,0.0118
model_0040.glb,25000,24990,True,0,1,0.979,0.0146
model_0040.glb,12000,11944,True,0,1,0.98,0.0219
model_0040.glb,6000,5970,True,0,1,0.975,0.0302
