glb,candidate,status,repair_s,topo_faces,topo_verts,topo_boundary_edges,topo_nonmanifold_edges,topo_watertight,topo_winding,topo_components,topo_euler,topo_nonmanifold_rate,f1@0.01,p@0.01,r@0.01,f1@0.005,curv_wass,chamfer_pct,normal_consistency,detail_s,wall_s
model_0059.glb,baseline,ok,0.0,13219,10691,6685,69,False,True,687,808,0.002986754393558999,0.896440939259916,0.8936,0.8993,0.422999621748909,0.02989333918934813,0.26653967369572573,0.9488623886521841,0.995,3.2
model_0059.glb,trimesh_gentle,ok,0.026,13219,10691,6685,69,False,True,687,808,0.002986754393558999,0.8932983879990521,0.8921,0.8945,0.4248988467869794,0.04903897244521312,0.2674653260850849,0.948952496838479,0.94,2.27
model_0059.glb,largest_component,ok,0.681,1635,895,153,0,False,True,1,1,0.0,0.23518560421317156,0.8898,0.1355,0.190606479326668,0.3334795286170552,7.4073649408145705,0.814409575518528,2.585,3.85
model_0059.glb,components_keep,ok,0.707,7354,4816,2280,0,False,True,31,-1,0.0,0.8202762418870502,0.8823,0.7664,0.4041411096003903,0.4846381049368385,0.40881964257126413,0.9222658360210264,0.858,2.18
model_0059.glb,open3d_clean,ok,2.807,12909,6441,90,7,False,False,21,-53,0.00036076895325465135,0.900796403196658,0.899,0.9026,0.42179978662823403,0.20807082710247193,0.2678054202105168,0.9495629113325739,0.829,4.58
model_0059.glb,voxel_96,ok,0.269,37182,18549,0,0,True,True,1,-42,0.0,0.0,0.0,0.0,0.0,0.344136994889268,1982.9994309120323,0.47113095222036583,2.138,2.99
model_0059.glb,voxel_160,ok,0.771,104366,52073,0,0,True,True,1,-110,0.0,0.0,0.0,0.0,0.0,0.28503725175280714,3323.7715166536645,0.47920771152695024,2.648,4.12
model_0059.glb,voxel_224,ok,1.718,206658,103165,0,0,True,True,1,-164,0.0,0.0,0.0,0.0,0.0,0.23771922157874553,4681.906546378343,0.4706385490858438,3.534,6.75
model_0059.glb,poisson_8,ok,14.843,172206,86158,60,11,False,True,30,36,4.2581524263726735e-05,0.8992967863889139,0.901,0.8976,0.4313191144077532,0.21316068453343134,0.2728605393650983,0.9487657401177574,2.107,18.34
model_0059.glb,poisson_9,ok,17.218,159074,79592,50,11,False,True,32,41,4.609743321110529e-05,0.9007936056833364,0.9032,0.8984,0.4307932915501036,0.17789200257343715,0.27187663909393534,0.9476082464538016,1.986,20.53
